,text,score,time,user
0,ถ้าในแต่ละวันเราทำงานในร้านเกิน 8 ชม.แต่เจ้าของร้านไม่จ่าย ot ให้กับพนักงาน พนักงานมีสิทธิ์ เรียกร้องได้ไหมครับ,0,2019-05-19 00:13:00,Anonymous
1,คนไทยด้วยกัน ร้านอาหารไทยช่วยลดราคาให้กันหน่อยจิ,0,2019-05-18 15:42:00,Anonymous
2,ถ้าพนักงานไม่สามารถทำ SSN ได้ เนื่องจาก over stayแล้วทำ ITIN ดีไหม มีประโยชน์อย่างไร,2,2019-05-18 15:26:00,Anonymous
3,ถ้าจ่ายพนักงานเป็นรายวัน ถือเป็นความผิดมั้ย และโทษคืออะไร,2,2019-05-18 15:15:00,Anonymous
4,ต้นทุนค่าใช้จ่ายอาหารคนงานประมาณ$3ต่อคนต่อมื้อมี10คนคือ$30เดิอนละ$900ปีละเกือบหมื่นเหรียญ รายงานsale tax เป็นรายปี แล้วเจ้าของร้านต้องจ่ายtaxส่วนนี้มั้ย,0,2019-05-18 15:13:00,Anonymous
5,จริงๆ มีกฏหมายใกม่ออกมาแล้ว ว่าพนักงานในครัวสามารถได้รับแบ่งทิปได้แล้ว ช่วยเช็คให้ด้วย,3,2019-05-18 15:12:00,Anonymous
6,ถ้าในกรณีที่ถูกตรวจสอบจากองค์กรควรจะตอบได้ไหมว่าเราprovide meal เราจะมีความผิดในกรณีsale tax ไหม,2,2019-05-18 15:08:00,Anonymous
7,พนักงานในครัวสามารถเรียกร้องทิปจากเจ้าของร้านได้มั้ย,3,2019-05-18 15:07:00,Anonymous
8,Sale tax ค่าอาหารจากพนักงาน เรียกเก็บย้อนหลังได้?,0,2019-05-18 15:07:00,Anonymous
9,การให้อาหารพนักงาน แจ้งเป็นค่าใช้จ่ายของร้านได้มั้ย,2,2019-05-18 15:06:00,Anonymous
10,ถ้าเราให้พนักงานกินอาหารฟรี เราต้องเรียกเก็บsales taxจากพนักงานหรือไม่?,2,2019-05-18 15:04:00,Anonymous
11,แต่ถ้าพ่อแม่ลูกของพนักงานป่วยซึ่งทำให้พนักงานมาไม่ได้ การจ่ายจะมาจาก Family medical leave พนักงานต้อง claim จากรัฐไม่ใช่มาจากเจ้าของร้านใช่ไหม,1,2019-05-18 15:03:00,Anonymous
12,ตามกฎหมายร้านอาหารต้องให้อาหารไหม,2,2019-05-18 15:03:00,Anonymous
13,การประชุมกับพนักงาน เราต้องจ่ายค่าชม.พนักงานหรือไม่,2,2019-05-18 15:02:00,Anonymous
14,"สำหรับร้านนวด
พนักงานนวด เป็น contractor หรือ employee",2,2019-05-18 15:01:00,Anonymous
15,เราสามารถปรับเวลาการทำงานของพนักงานได้ไหม ในกรณที่พนักงานมาclock in ก่อนเวลา หรือว่าลืมclock out หรือclock in มา แล้วยังไม่ยอมเริ่มทำงาน เป็นต้น,3,2019-05-18 15:00:00,Anonymous
16,"ช่วงฝึกงานพนักงานใหม่ตามกม. มีระยะเวลามั้ย,,และต้องให้ตามค่าแรงขั้นค่ำใช่มั้ย",3,2019-05-18 14:59:00,Anonymous
17,กล้องในร้านถือว่าเก็บเป็นหลักฐานการทำงานได้?,1,2019-05-18 14:56:00,Anonymous
18,เคสที่โดนฟ้องร้อง ตามสถิติ เยอะที่สุดคื่อเรื่องอะไร,2,2019-05-18 14:56:00,Anonymous
19,แล้วทางร้านฟ้องร้องพนักงานกลับได้ไหมถ้า case เราถูกต้อง,2,2019-05-18 14:56:00,Anonymous
20,ถ้าพ่อแม่พี่น้อง หรือลูกของพนักงานไม่สบายทำให้ พนักงานมาทำงานไม่ได้ เราต้องจ่ายพนักงานนั้นด้วยถูกต้องมั้ย จะรู้ได้อย่างไรว่ามันคือเรื่องจริง,2,2019-05-18 14:56:00,Anonymous
21,อธิบายความแตกต่าง full time กับpart timeนอกจากชม.งาน ในแง่ ผลประโยชน์ อื่นๆ,0,2019-05-18 14:55:00,Anonymous
22,ถ้าพนักงานมีปัญหาเรื่องเกี่ยวกับsexual harassment กันเอง เจ้าของร้านจะโดนอะไรไหม,3,2019-05-18 14:55:00,Anonymous
23,ถ้าบางวันไม่busyแล้วให้พนักงานกลับบ้านก่อนจะผิดกฎหมายไหมทั้งๆที่มีตารางเวลาที่แน่นอนแล้ว,2,2019-05-18 14:54:00,Anonymous
24,๑เราสามารถให้โบนัสพนักงานสูงสุดเท่าไหร่ ได้กี่ครั้งต่อปี,2,2019-05-18 14:53:00,Anonymous
25,ถ้าเราเหมาจ่ายพนักงาน และเราใส่ในเช็คเป็นชม. ว่าอาทิตย์ละ 40ชม. เหมือนกันทุกเช็ค จะมีปัญหาอะไรไหมคะ,4,2019-05-18 14:51:00,Anonymous
26,เราสามารถจ่ายพนักงานเป็นเงินเดือนได้กี่คน,1,2019-05-18 14:50:00,Anonymous
27,เจ้าของธุรกิจ มีสิทธิ์ถูกพนักงานฟ้องร้องในรูปแบบไหนได้บ้าง และเจ้าของร้านสามารถป้องกันตัวได้อย่างไรบ้าง,2,2019-05-18 14:48:00,Anonymous
28,Accrued sick leave hours - ถ้าพนักงานไม่ได้ใช้ ต้องจ่ายเป็นเงินกลับคืนให้พนักงานตอนสิ้นปีหรือไม่,2,2019-05-18 14:48:00,Anonymous
29,ร้านอาหารสามารถเหมาจ่ายพนักงานในครัวเป็นรายวันได้หรือไม่,4,2019-05-18 14:47:00,Anonymous
30,พนักงานทำเกิน40ชม.ต่อสัปดาห์ ทุกสัปดาห์ ถือเป็นfull timeใช่มั้ย ความแตกต่าง full time กับpart time,2,2019-05-18 14:47:00,Anonymous
